EmployeeID,Name,Age,Department,Salary,Experience,City,JoinDate,Performance
1,Hassan,28.0,IT,33278.0,4,Chattogram,2016-11-24,Excellent
2,Alice,58.0,HR,85302.0,38,Chattogram,2018-09-20,Excellent
3,Rita,56.0,Finance,56062.0,26,Chattogram,2022-10-09,Excellent
4,Ivy,31.0,IT,85392.0,6,Chattogram,2020-02-03,Poor
5,Tom,27.0,Sales,77052.0,2,Dhaka,2022-09-04,Poor
6,Tom,,Sales,102357.0,2,Rajshahi,2018-12-03,Excellent
7,Hassan,35.0,HR,67930.0,14,Khulna,2019-08-21,Average
8,George,31.0,Sales,78520.0,6,Dhaka,2024-11-06,Good
9,Ivy,31.0,Marketing,90589.0,5,Chattogram,2020-01-08,Excellent
10,Charlie,41.0,IT,82581.0,17,Rajshahi,2020-04-21,Poor
11,Eva,46.0,Sales,114259.0,19,Chattogram,2018-12-18,Average
12,Maya,58.0,sales,86155.0,29,Chattogram,2017-09-16,Excellent
13,Fatima,24.0,Finance,,2,Rajshahi,2016-07-13,Poor
14,Alice,54.0,HR,62953.0,26,Rajshahi,2019-11-11,Excellent
15,Omar,39.0,HR,86985.0,17,Sylhet,2023-03-17,Excellent
16,Tom,40.0,IT,113748.0,12,Chattogram,2020-03-18,Excellent
17,Alice,59.0,HR,72487.0,32,Sylhet,2019-04-02,Good
18,Paul,57.0,HR,40322.0,36,Rajshahi,2017-03-22,Poor
19,Quinn,56.0,Marketing,51643.0,32,Khulna,2018-09-25,Good
20,Lina,40.0,Finance,82296.0,10,Rajshahi,2022-02-08,Good
21,Sara,25.0,Marketing,74313.0,5,Chattogram,2024-04-01,Excellent
22,Bob,24.0,Sales,60007.0,3,Dhaka,2023-04-09,Poor
23,Sara,,marketing,100678.0,12,Khulna,2018-08-26,Poor
24,Nina,33.0,Sales,42363.0,12,Khulna,2021-08-28,Excellent
25,Karim,27.0,HR,37944.0,1,Chattogram,2018-04-18,Poor
26,Ivy,29.0,Finance,85296.0,7,Chattogram,2016-08-26,Excellent
27,Alice,24.0,HR,115477.0,0,Chattogram,2017-07-16,Poor
28,Fatima,34.0,Finance,82565.0,14,Dhaka,2021-05-26,Poor
29,Paul,39.0,IT,85444.0,11,Chattogram,2019-04-02,Excellent
30,Sara,41.0,Finance,37492.0,21,Rajshahi,2023-03-02,Excellent
31,Charlie,32.0,IT,38981.0,3,Khulna,2016-10-08,Excellent
32,Sara,60.0,Marketing,40745.0,34,Rajshahi,2020-05-07,Average
